date,close,high,low,open,pre,change,rate,volume,amount
2020/3/10,4082.7315,4093.0024,3954.7506,3975.2288,3997.1325,85.599,2.1415,19741640200,2.96184435851e+11
2020/3/11,4028.4289,4091.2704,4028.3964,4090.9348,4082.7315,-54.3026,-1.3301,16165611100,2.44990872686e+11
2020/3/12,3950.9111,3987.4336,3926.2704,3976.1139,4028.4289,-77.5178,-1.9243,15706045800,2.33152848759e+11
2020/3/13,3895.3128,3937.1806,3765.1479,3771.0139,3950.9111,-55.5983,-1.4072,18829672200,2.80213453214e+11
2020/3/16,3727.8398,3899.8598,3720.5127,3899.8598,3895.3128,-167.473,-4.2993,18596826000,2.82836238271e+11
2020/3/17,3709.6822,3786.8908,3618.307,3739.7833,3727.8398,-18.1576,-0.4871,16624612900,2.50824025697e+11
2020/3/18,3636.2565,3775.8506,3636.2565,3729.6853,3709.6822,-73.4257,-1.9793,15503754700,2.44127161535e+11
2020/3/19,3589.0926,3647.9874,3503.1866,3623.789,3636.2565,-47.1639,-1.297,18080740700,2.71827467962e+11
2020/3/20,3653.2239,3663.9517,3588.7766,3629.5126,3589.0926,64.1313,1.7868,13960300000,2.11223073323e+11
2020/3/23,3530.3058,3585.8014,3523.7877,3542.6837,3653.2239,-122.9181,-3.3646,13710879000,1.9766962497e+11
2020/3/24,3625.1146,3627.7592,3545.4524,3598.6548,3530.3058,94.8088,2.6856,14310302100,2.08553840688e+11
2020/3/25,3722.5181,3732.6536,3685.9942,3711.4753,3625.1146,97.4035,2.6869,15349595800,2.31561518761e+11
2020/3/26,3698.0472,3736.2536,3681.2668,3692.6083,3722.5181,-24.4709,-0.6574,11231066500,1.69336311861e+11
2020/3/27,3710.0605,3758.7827,3709.9213,3746.3914,3698.0472,12.0133,0.3249,12406099500,1.86103426335e+11
2020/3/30,3674.1108,3690.6388,3637.5853,3657.4624,3710.0605,-35.9497,-0.969,12687667300,1.80640799409e+11
2020/3/31,3686.1551,3716.0707,3676.2024,3708.1404,3674.1108,12.0443,0.3278,11145302500,1.61595510008e+11
2020/4/1,3675.0758,3731.7799,3670.9653,3682.2966,3686.1551,-11.0793,-0.3006,11935262000,1.70422568804e+11
2020/4/2,3734.5306,3734.5306,3652.3167,3656.3225,3675.0758,59.4548,1.6178,11516820900,1.68893255657e+11
2020/4/3,3713.2183,3738.8323,3698.9822,3721.4815,3734.5306,-21.3123,-0.5707,9982508300,1.50132815028e+11
2020/4/7,3798.0214,3803.6286,3772.2054,3779.9076,3713.2183,84.8031,2.2838,14277803000,2.07642820317e+11
2020/4/8,3780.3445,3793.0023,3767.2924,3776.4171,3798.0214,-17.6769,-0.4654,11138951300,1.6157677232e+11
2020/4/9,3792.8105,3801.7245,3785.3116,3798.4879,3780.3445,12.466,0.3298,10048503200,1.54595318813e+11
2020/4/10,3769.1782,3824.7441,3758.9599,3794.8429,3792.8105,-23.6323,-0.6231,10244495600,1.62251233801e+11
2020/4/13,3753.2566,3769.8764,3740.1936,3751.7093,3769.1782,-15.9216,-0.4224,7905334300,1.19874303205e+11
2020/4/14,3825.6991,3825.7599,3764.9838,3777.8343,3753.2566,72.4425,1.9301,11063758500,1.70612579792e+11
2020/4/15,3797.3623,3829.8009,3793.4402,3820.8506,3825.6991,-28.3368,-0.7407,10846198400,1.69700216633e+11
2020/4/16,3802.3806,3807.3569,3774.5585,3777.7986,3797.3623,5.0183,0.1322,9594796500,1.47164302057e+11
2020/4/17,3839.4871,3863.4521,3821.4201,3831.9232,3802.3806,37.1065,0.9759,13200430100,2.03595267034e+11
2020/4/20,3853.4551,3853.7984,3831.553,3845.4598,3839.4871,13.968,0.3638,10001311500,1.51924090117e+11
2020/4/21,3808.0474,3838.2314,3779.9967,3838.2314,3853.4551,-45.4077,-1.1784,10292188800,1.55077454132e+11
2020/4/22,3839.3834,3839.3834,3782.2149,3789.1297,3808.0474,31.336,0.8229,8589946400,1.3554728079e+11
2020/4/23,3829.7525,3857.4709,3826.5565,3851.9132,3839.3834,-9.6309,-0.2508,9550845000,1.42122548832e+11
2020/4/24,3796.9721,3827.212,3787.0714,3826.3116,3829.7525,-32.7804,-0.8559,9484413500,1.38961200283e+11
2020/4/27,3822.769,3842.8706,3793.7655,3808.0171,3796.9721,25.7969,0.6794,9546273500,1.45301151875e+11
2020/4/28,3849.1465,3859.6754,3768.2,3835.348,3822.769,26.3775,0.69,12209347600,1.8417975924e+11
2020/4/29,3867.032,3880.7444,3833.7164,3837.5135,3849.1465,17.8855,0.4647,9585459000,1.51282103744e+11
2020/4/30,3912.5772,3921.7004,3880.4094,3880.4094,3867.032,45.5452,1.1778,13291712500,2.02268288802e+11
2020/5/6,3936.2539,3937.6909,3865.9875,3867.2587,3912.5772,23.6767,0.6051,13985567500,2.14935962364e+11
2020/5/7,3924.8946,3941.4833,3915.9048,3937.5918,3936.2539,-11.3593,-0.2886,10551464600,1.6720780184e+11
2020/5/8,3963.6217,3979.6627,3935.9805,3942.9972,3924.8946,38.7271,0.9867,11694334100,1.90299584717e+11
